ts_code,trade_date,total_mv,float_mv,total_share,float_share,free_share,turnover_rate,turnover_rate_f,pe,pe_ttm,pb
000001.SH,20040102,3295001954556.0,794485057722.0,453941610705.0,107781268279.0,103266916406.0,1.52,1.59,45.34,37.11,2.77
000001.SH,20040105,3414251582888.0,814776830933.0,454201360772.0,108041018346.0,103266916406.0,2.6,2.72,46.98,38.46,2.87
000001.SH,20040106,3426006806191.0,818535266780.0,454205923518.0,108045581092.0,103266916406.0,2.97,3.1,47.14,38.59,2.88
000001.SH,20040107,3452768538291.0,827217238346.0,454355923518.0,108095581092.0,103316916406.0,2.78,2.91,47.48,38.87,2.91
000001.SH,20040108,3499751716452.0,841909380061.0,454355923518.0,108095581092.0,103316916406.0,2.54,2.66,48.13,39.4,2.94
000001.SH,20040109,3435284367709.0,831965775970.0,454355923518.0,108095581092.0,103316916406.0,2.88,3.02,47.24,38.67,2.89
000001.SH,20040112,3515964933508.0,848902326825.0,454355923518.0,108095581092.0,103316916406.0,2.09,2.19,48.35,39.58,2.96
000001.SH,20040113,3499151535543.0,851868248172.0,454355923518.0,108095581092.0,103316916406.0,2.36,2.47,48.11,39.39,2.94
000001.SH,20040114,3452614353907.0,844231541201.0,454355923518.0,108095581092.0,103316916406.0,1.87,1.95,47.47,38.86,2.91
000001.SH,20040115,3442681476298.0,842236014356.0,454623748608.0,108252439782.0,103391916406.0,1.71,1.79,47.24,38.73,2.9
000001.SH,20040116,3474748339861.0,851462326711.0,454745918419.0,108374609593.0,103391916406.0,1.86,1.95,47.78,39.19,2.92
000001.SH,20040129,3533740496296.0,871951868660.0,454745918419.0,108374609593.0,103391916406.0,1.68,1.76,48.59,39.85,2.97
000001.SH,20040130,3450931146084.0,855694300966.0,454918868419.0,108457559593.0,103451916406.0,2.18,2.29,47.05,38.83,2.9
000001.SH,20040202,3520779857719.0,874514999136.0,454918868419.0,108457559593.0,103538076142.0,3.15,3.3,47.75,39.56,2.95
000001.SH,20040203,3578391992098.0,885346096459.0,454918868419.0,108457559593.0,103554076142.0,2.42,2.53,48.53,40.21,3.0
000001.SH,20040204,3656475201513.0,904235930256.0,454918868419.0,108457559593.0,103554076142.0,2.94,3.08,49.59,41.09,3.07
000001.SH,20040205,3673432910146.0,910831732149.0,454918868419.0,108460471993.0,103554536257.0,2.95,3.09,49.81,41.27,3.08
000001.SH,20040206,3643696677422.0,902497953470.0,454918868419.0,108460471993.0,103554536257.0,3.06,3.2,49.39,40.93,3.06
000001.SH,20040209,3696223203880.0,917140025020.0,454918868419.0,108460471993.0,103554536257.0,2.38,2.49,50.1,41.52,3.1
000001.SH,20040210,3668570051068.0,912512149430.0,454918868419.0,108460471993.0,103617086257.0,2.48,2.59,49.73,41.23,3.08
000001.SH,20040211,3635809600189.0,910003870870.0,454918868419.0,108460471993.0,103617086257.0,2.41,2.53,48.93,40.82,3.05
000001.SH,20040212,3602661457058.0,908476935040.0,454918868419.0,108460471993.0,103617086257.0,2.47,2.59,48.38,40.43,3.02
000001.SH,20040213,3592399718964.0,903327844014.0,454918868419.0,108460471993.0,103617086257.0,2.07,2.17,48.06,40.23,3.01
000001.SH,20040216,3674848838025.0,923844807928.0,454918868419.0,108460471993.0,103712086257.0,2.09,2.19,49.15,41.16,3.08
000001.SH,20040217,3687800207997.0,930483894996.0,454918868419.0,108460471993.0,103712086257.0,2.71,2.83,49.18,41.25,3.09
000001.SH,20040218,3718540771928.0,936772252447.0,455116868419.0,108520471993.0,103772086257.0,2.64,2.76,49.01,41.46,3.11
000001.SH,20040219,3719094984966.0,937368840399.0,455186868419.0,108550471993.0,103802086257.0,2.48,2.59,48.97,41.45,3.11
000001.SH,20040220,3727990801031.0,940225955344.0,454934668419.0,108470471993.0,103722086257.0,2.12,2.21,49.02,41.53,3.12
000001.SH,20040223,3639230157774.0,919858087893.0,454934668419.0,108470471993.0,103722086257.0,2.59,2.71,47.85,40.57,3.05
000001.SH,20040224,3644973836067.0,915023150141.0,454934668419.0,108470471993.0,103758086257.0,2.44,2.55,47.42,40.45,3.05
