,ts_code,end_date,report_type,comp_type,total_hldr_eqy_exc_min_int
0,000001.SZ,20220930,1,2,425384000000.0
1,000001.SZ,20220630,1,2,412098000000.0
2,000001.SZ,20220331,1,2,406175000000.0
3,000001.SZ,20220331,1,2,406175000000.0
4,000001.SZ,20211231,1,2,395448000000.0
5,000001.SZ,20211231,1,2,395448000000.0
6,000001.SZ,20210930,1,2,388858000000.0
7,000001.SZ,20210930,1,2,388858000000.0
8,000001.SZ,20210630,1,2,377193000000.0
9,000001.SZ,20210331,1,2,372617000000.0
10,000001.SZ,20210331,1,2,372617000000.0
11,000001.SZ,20201231,1,2,364131000000.0
12,000001.SZ,20201231,1,2,364131000000.0
13,000001.SZ,20200930,1,2,358771000000.0
14,000001.SZ,20200630,1,2,351397000000.0
15,000001.SZ,20200331,1,2,352355000000.0
16,000001.SZ,20191231,1,2,312983000000.0
17,000001.SZ,20190930,1,2,288073000000.0
18,000001.SZ,20190630,1,2,256603000000.0
19,000001.SZ,20190331,1,2,250938000000.0
20,000001.SZ,20181231,1,2,240042000000.0
21,000001.SZ,20181231,1,2,240042000000.0
22,000001.SZ,20180930,1,2,235231000000.0
23,000001.SZ,20180930,1,2,235231000000.0
24,000001.SZ,20180630,1,2,228141000000.0
25,000001.SZ,20180331,1,2,223391000000.0
26,000001.SZ,20171231,1,2,222054000000.0
27,000001.SZ,20171231,1,2,222054000000.0
28,000001.SZ,20170930,1,2,218111000000.0
29,000001.SZ,20170630,1,2,211454000000.0
30,000001.SZ,20170630,1,2,211454000000.0
31,000001.SZ,20170331,1,2,207739000000.0
32,000001.SZ,20161231,1,2,202171000000.0
33,000001.SZ,20161231,1,2,202171000000.0
34,000001.SZ,20160930,1,2,198228000000.0
35,000001.SZ,20160630,1,2,191700000000.0
36,000001.SZ,20160630,1,2,191700000000.0
37,000001.SZ,20160331,1,2,187569000000.0
38,000001.SZ,20151231,1,2,161500000000.0
39,000001.SZ,20151231,1,2,161500000000.0
40,000001.SZ,20150930,1,2,157136000000.0
41,000001.SZ,20150630,1,2,150880000000.0
42,000001.SZ,20150331,1,2,136704000000.0
43,000001.SZ,20141231,1,2,130949000000.0
44,000001.SZ,20141231,1,2,130949000000.0
45,000001.SZ,20140930,1,2,126736000000.0
46,000001.SZ,20140930,1,2,126736000000.0
47,000001.SZ,20140630,1,2,120940000000.0
48,000001.SZ,20140331,1,2,117300000000.0
49,000001.SZ,20131231,1,2,112081000000.0
50,000001.SZ,20131231,1,2,112081000000.0
51,000001.SZ,20130930,1,2,94913000000.0
52,000001.SZ,20130630,1,2,91542000000.0
53,000001.SZ,20130630,1,2,91542000000.0
54,000001.SZ,20130331,1,2,88759000000.0
55,000001.SZ,20121231,1,2,84798775000.0
56,000001.SZ,20121231,1,2,84798775000.0
57,000001.SZ,20120930,1,2,81725885000.0
58,000001.SZ,20120930,1,2,81725885000.0
59,000001.SZ,20120630,1,2,79822610000.0
60,000001.SZ,20120630,1,2,79822610000.0
61,000001.SZ,20120331,1,2,76815293000.0
62,000001.SZ,20111231,1,2,73310837000.0
63,000001.SZ,20111231,1,2,73310837000.0
64,000001.SZ,20110930,1,2,69707946000.0
65,000001.SZ,20110930,1,2,69707946000.0
