end_date,total_hldr_eqy_exc_min_int
19941231,79543655.4
19951231,242233067.92499998
19960630,392182630.71
19961231,254400544.61
19970630,415971674.95
19971231,301163980.53499997
19980630,309230616.04
19981231,311178958.795
19990630,322951804.96000004
19991231,310206067.81
20000630,321848151.185
20001231,92229656892.45999
20010630,351846378.24
20011231,52180512829.488754
20020331,261423829.775
20020630,251446927.32
20020930,256379349.925
20021231,40443721700.532776
20030331,216204323.575
20030630,196721174.81
20030930,97782746.63499999
20031231,10603391035.81683
20040331,918551557.46
20040630,1877043391.011666
20040930,1933709303.1733334
20041231,12233350187.232367
20050331,1918264264.6860003
20050630,1406766971.4265454
20050930,1078194116.3072891
20051231,3018533902.460064
20060331,1315584203.3097527
20060630,2022998069.1391973
20060930,1857096788.0616186
20061231,3295991871.4984426
20070331,2580027414.8718195
20070630,3406771926.7733984
20070930,3243739925.898013
20071231,3740955260.913667
20080331,4276337733.001006
20080630,4406477173.821395
20080930,4454548694.982601
20081231,4640162727.22758
20090331,4692273505.35571
20090630,4907144084.563683
20090930,5022555318.39463
20091231,5392132757.415112
20100331,5805850413.958387
20100630,5967609995.545174
20100930,6498497454.142321
20101231,6618266141.014998
20110331,7299271967.2561865
20110630,7349789097.692113
20110930,7546158990.11014
20111231,6872843745.052656
20120331,8258431448.466013
20120630,8214146115.986465
20120930,8494493547.523611
20121231,7425986312.354301
20130331,9271780310.083298
20130630,9258472171.327002
20130930,9602992874.96316
20131231,8085082560.247933
20140331,10276128917.239717
20140630,9950748396.396008
20140930,10320048555.030653
20141231,9223005451.84998
20150331,11458152889.899036
20150630,11485976926.7326
20150930,12209738219.196987
20151231,10870285803.511196
20160331,13179025554.49223
20160630,12303993030.171524
20160930,13306388215.681082
20161231,11631923784.461191
20170331,13850375197.794691
20170630,12670653108.903902
20170930,14019916426.196674
20171231,12948792488.076487
20180331,14840326333.563997
20180630,14574214365.981045
20180930,14598610198.262094
20181231,15003538360.888311
20190331,14777071367.510263
20190630,15712912125.17424
20190930,16923994710.8441
20191231,16355177272.98386
20200331,17597023790.889828
20200630,13226660377.211245
20200930,17821213174.393345
20201231,17983316823.86774
20210331,20069365389.053864
20210630,19190639350.105335
20210930,19586939578.270294
20211231,25537797112.666912
20220331,25642030952.915417
20220630,21607989253.00189
20220930,26343233924.928013
